Waiting for GPS Fix
GPS Fix obtained at;13:59:12.000:000:000:;Date:9/12/2021
Lifetime;021961;14:09:05.709:900:352:;
Lifetime;226854;14:09:10.109:900:640:;
Lifetime;043725;14:09:11.311:807:616:;
Lifetime;107694;14:09:11.781:311:360:;
Lifetime;208065;14:09:14.713:655:296:;
Lifetime;018060;14:09:21.262:300:944:;
Lifetime;018123;14:09:24.263:002:912:;
Lifetime;045399;14:09:25.066:470:212:;
Lifetime;292827;14:09:27.864:866:624:;
Lifetime;026175;14:09:29.555:180:672:;
Lifetime;181573;14:09:30.026:851:062:;
Lifetime;021981;14:09:40.567:222:272:;
Lifetime;018124;14:09:42.107:648:824:;
Lifetime;021770;14:09:45.705:838:400:;
Lifetime;018058;14:09:48.565:803:520:;
Lifetime;018058;14:09:49.213:155:520:;
Lifetime;108336;14:09:50.352:549:536:;
Lifetime;202032;14:09:51.915:114:752:;
Lifetime;018121;14:09:52.564:302:464:;
Lifetime;018060;14:09:53.192:175:424:;
Lifetime;096777;14:09:56.312:737:024:;
Lifetime;021861;14:09:59.478:545:568:;
Lifetime;139289;14:10:01.798:220:672:;
Lifetime;018190;14:10:04.704:285:056:;
Lifetime;018067;14:10:05.937:667:200:;
Lifetime;018065;14:10:09.914:397:504:;
Lifetime;275683;14:10:14.826:606:656:;
Lifetime;129481;14:10:16.148:040:112:;
Lifetime;018059;14:10:19.846:555:904:;
Lifetime;018064;14:10:20.876:846:528:;
Lifetime;214838;14:10:23.880:607:360:;
Lifetime;018062;14:10:24.735:152:704:;
Lifetime;142253;14:10:27.311:335:264:;
Lifetime;018062;14:10:31.716:255:808:;
Lifetime;018254;14:10:34.246:086:752:;
Lifetime;018247;14:10:39.472:982:112:;
Lifetime;018063;14:10:42.786:482:752:;
Lifetime;373099;14:10:44.125:125:504:;
Lifetime;040666;14:10:44.981:987:392:;
Lifetime;284945;14:10:54.316:391:072:;
Lifetime;018064;14:10:55.704:444:096:;
Lifetime;018049;14:11:02.767:171:712:;
Lifetime;229191;14:11:03.160:700:352:;
Lifetime;018115;14:11:05.068:177:096:;
Lifetime;119676;14:11:05.344:532:224:;
Lifetime;018062;14:11:09.125:402:784:;
Lifetime;018126;14:11:10.914:767:232:;
Lifetime;018061;14:11:11.047:943:424:;
Lifetime;123502;14:11:11.336:938:272:;
Lifetime;218548;14:11:13.821:940:672:;
Lifetime;224674;14:11:15.372:556:768:;
Lifetime;018124;14:11:16.395:232:160:;
Lifetime;002865;14:11:18.682:732:544:;
Lifetime;135352;14:11:26.001:202:230:;
Lifetime;018117;14:11:26.775:306:112:;
Lifetime;021862;14:11:30.303:622:816:;
Lifetime;018184;14:11:35.544:109:696:;
Lifetime;093599;14:11:37.952:615:872:;
Lifetime;230912;14:11:40.253:038:976:;
Lifetime;007223;14:11:47.320:683:968:;
Lifetime;154444;14:11:48.289:458:304:;
Lifetime;018060;14:11:48.464:088:512:;
Lifetime;150849;14:11:50.990:852:928:;
Lifetime;021862;14:11:56.457:713:152:;
Lifetime;017987;14:11:57.275:360:096:;
Lifetime;329802;14:11:59.966:610:688:;
Lifetime;021980;14:12:03.639:735:616:;
Lifetime;018056;14:12:04.329:089:184:;
Lifetime;018060;14:12:10.152:613:952:;
Lifetime;018136;14:12:11.527:783:168:;
Lifetime;018059;14:12:16.443:787:872:;
Lifetime;018128;14:12:21.598:357:184:;
Lifetime;018066;14:12:21.866:643:072:;
Lifetime;018061;14:12:24.707:814:080:;
Lifetime;006913;14:12:24.718:690:752:;
Lifetime;246570;14:12:25.178:593:856:;
Lifetime;018058;14:12:28.524:956:000:;
Lifetime;018119;14:12:29.369:394:624:;
Lifetime;018119;14:12:29.803:833:728:;
Lifetime;018056;14:12:33.388:972:128:;
Lifetime;092287;14:12:35.664:986:048:;
Lifetime;270191;14:12:41.430:258:592:;
Lifetime;034505;14:12:46.366:898:880:;
Lifetime;018116;14:12:50.309:229:824:;
Lifetime;017992;14:12:50.374:591:744:;
Lifetime;394032;14:12:50.795:534:016:;
Lifetime;047078;14:13:04.714:818:816:;
Lifetime;120515;14:13:10.928:329:664:;
Lifetime;244103;14:13:12.250:943:808:;
Lifetime;018059;14:13:14.579:984:256:;
Lifetime;082568;14:13:16.066:808:308:;
Lifetime;187273;14:13:18.375:707:808:;
Lifetime;018125;14:13:19.924:532:032:;
Lifetime;018061;14:13:23.590:165:248:;
Lifetime;018058;14:13:25.010:322:929:;
Lifetime;401356;14:13:28.955:517:184:;
Lifetime;357856;14:13:29.876:964:096:;
Lifetime;210330;14:13:31.825:149:056:;
Lifetime;018061;14:13:32.877:936:384:;
Lifetime;017990;14:13:37.763:285:888:;
Lifetime;029590;14:13:40.667:945:856:;
Lifetime;017989;14:13:40.893:416:704:;
Lifetime;018057;14:13:46.128:381:696:;
Lifetime;018679;14:13:46.243:115:792:;
Lifetime;018128;14:13:56.328:822:816:;
Lifetime;165035;14:13:58.092:230:216:;
Lifetime;020301;14:14:06.969:073:984:;
Lifetime;018118;14:14:09.100:158:400:;
Lifetime;268172;14:14:09.217:144:080:;
Lifetime;297692;14:14:10.343:261:792:;
Lifetime;018061;14:14:12.322:575:776:;
Lifetime;018063;14:14:14.985:548:736:;
Lifetime;017991;14:14:16.274:595:168:;
Lifetime;018060;14:14:19.807:141:952:;
Lifetime;018117;14:14:29.127:876:848:;
Lifetime;296486;14:14:29.140:916:096:;
Lifetime;018063;14:14:31.923:882:304:;
Lifetime;018128;14:14:35.460:393:088:;
Lifetime;018064;14:14:37.227:339:344:;
Lifetime;233357;14:14:40.276:689:888:;
Lifetime;018064;14:14:41.203:949:696:;
Lifetime;018064;14:14:45.501:330:368:;
Lifetime;018062;14:14:47.761:408:768:;
Lifetime;077726;14:14:49.874:409:984:;
Lifetime;384648;14:14:53.336:458:432:;
Lifetime;018126;14:14:56.274:920:128:;
Lifetime;026349;14:14:56.859:959:232:;
Lifetime;091753;14:15:00.162:782:272:;
Lifetime;000124;14:15:01.232:761:040:;
Lifetime;021984;14:15:01.559:379:008:;
Lifetime;018067;14:15:04.001:019:678:;
Lifetime;098122;14:15:17.148:084:400:;
Lifetime;018067;14:15:20.609:418:752:;
Lifetime;018062;14:15:22.324:722:944:;
Lifetime;018060;14:15:25.859:874:816:;
Lifetime;018060;14:15:26.689:081:536:;
Lifetime;018186;14:15:29.875:760:832:;
Lifetime;034633;14:15:31.115:745:752:;
Lifetime;018122;14:15:33.365:200:256:;
Lifetime;021863;14:15:37.425:589:184:;
Lifetime;263933;14:15:41.768:722:432:;
Lifetime;018060;14:15:43.787:548:352:;
Lifetime;018061;14:15:47.222:150:160:;
Lifetime;211130;14:15:58.099:934:464:;
