=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:05:12.474:210:816:;
Coincidence;15:05:12.650:312:576:;
Coincidence;15:05:14.335:399:488:;
Coincidence;15:05:14.622:128:000:;
Coincidence;15:05:15.221:919:632:;
Coincidence;15:05:15.605:057:408:;
Coincidence;15:05:16.384:265:856:;
Coincidence;15:05:16.447:656:096:;
Coincidence;15:05:16.655:992:256:;
Coincidence;15:05:16.739:106:560:;
Coincidence;15:05:17.626:488:896:;
Coincidence;15:05:17.853:983:680:;
Coincidence;15:05:19.011:450:124:;
Coincidence;15:05:19.590:309:760:;
Coincidence;15:05:19.768:429:824:;
Coincidence;15:05:20.111:822:768:;
Coincidence;15:05:20.408:927:136:;
Coincidence;15:05:21.516:137:600:;
Coincidence;15:05:21.541:312:832:;
Coincidence;15:05:22.210:648:384:;
Coincidence;15:05:22.236:645:072:;
Coincidence;15:05:22.599:712:128:;
Coincidence;15:05:22.657:716:416:;
Coincidence;15:05:22.928:839:872:;
Coincidence;15:05:23.049:322:320:;
Coincidence;15:05:24.632:579:648:;
Coincidence;15:05:25.335:648:480:;
Coincidence;15:05:25.426:531:040:;
Coincidence;15:05:25.543:922:624:;
Coincidence;15:05:25.804:480:384:;
Coincidence;15:05:25.932:959:808:;
Coincidence;15:05:25.953:177:472:;
Coincidence;15:05:26.121:897:624:;
Coincidence;15:05:26.418:519:872:;
Coincidence;15:05:26.526:920:928:;
Coincidence;15:05:27.551:585:856:;
Coincidence;15:05:27.584:238:720:;
Coincidence;15:05:27.675:761:472:;
Coincidence;15:05:27.730:934:016:;
Coincidence;15:05:27.996:266:560:;
Coincidence;15:05:28.029:731:594:;
Coincidence;15:05:28.997:021:312:;
Coincidence;15:05:29.259:622:064:;
Coincidence;15:05:29.488:754:624:;
Coincidence;15:05:30.158:885:872:;
Coincidence;15:05:30.271:063:104:;
